nombre,direccion,ciudad,provincia,codigo_proveedor
Godofredo Gras Fuentes S.L.U.,"Urbanización de Vicenta Cortés 51, Álava, 28974",Huelva,Córdoba,4789
Inmobiliaria Talavera & Asociados S.L.,"Pasadizo Dulce Egea 66, Navarra, 21829",Ceuta,Soria,5798
Espada y Palomar S.A.,"Alameda Luis Miguel Ayuso 127, Málaga, 41733",Albacete,Tarragona,6618
Promociones Vergara S.A.,"Plaza de Herminio Moya 233, Asturias, 51529",Lugo,Lugo,6313
Vives y asociados S.Coop.,"Glorieta Ema Bas 50 Apt. 60 , Murcia, 37877",Huelva,Málaga,9006
Hnos Calvet S.A.,"Camino de Eloy Buendía 54 Piso 0 , Palencia, 22079",Córdoba,Navarra,6599
Farmaceútica Castellana S.L.,"Cañada Marianela Aroca 63 Apt. 38 , Sevilla, 33629",Burgos,Tarragona,6904
Remigio Salvà Serra S.L.,"Plaza de Odalis Paz 5, Ceuta, 43472",Huelva,Guipúzcoa,1896
Finanzas Española S.L.,"Callejón de Fidel Amigó 6, Lleida, 27886",Soria,Guadalajara,6511
César Rosselló Benito S.L.,"Glorieta Jordán Piñeiro 469, Vizcaya, 25388",Las Palmas,Pontevedra,8862
Banco Guerrero y asociados S.A.,"Callejón de Reyna Sancho 5 Apt. 81 , Navarra, 46480",Zaragoza,Baleares,3362
Verónica Nebot Marquez S.L.,"Plaza de Juan José Ortega 71 Piso 1 , Almería, 02571",Asturias,Jaén,7878
Hotel UA S.A.,"Glorieta de Rico Bernal 74 Apt. 25 , Sevilla, 23354",Sevilla,Ávila,7826
Inmobiliaria Camps & Asociados S.L.L.,"Urbanización Espiridión Cantero 32, Huelva, 47007",Asturias,Tarragona,8274
Real y asociados S.Com.,"Via de Marisa Botella 16 Apt. 68 , Toledo, 51462",Zamora,Zamora,7445
Distribuciones Lluch S.L.L.,"Calle de Melchor Moll 76, Zamora, 19760",Barcelona,Madrid,1530
Suministros MSXE S.Coop.,"Rambla de María Manuela Badía 279, Cantabria, 21059",Ciudad,Valencia,5061
Fábrica Cueto y asociados S.C.P,"Avenida de Blanca Becerra 78 Piso 5 , Jaén, 36418",Zamora,Murcia,8013
Familia Barreda S.L.L.,"Cuesta Bernarda Chamorro 307 Puerta 4 , Vizcaya, 49922",Granada,Teruel,1375
Restauración BKE S.L.,"Paseo Marina Canales 85, Melilla, 39296",Alicante,Palencia,6394
Hnos Morera S.L.L.,"Callejón de Nieves Canet 2 Piso 0 , León, 06319",Lugo,Ourense,8027
Inmobiliaria Luján & Asociados S.L.,"Cuesta de Cintia Villar 47 Apt. 55 , La Rioja, 11757",León,Ciudad,8547
Inmobiliaria del Sur S.A.,"Avenida de Vicente Amador 70, Cuenca, 46916",Sevilla,Córdoba,8752
Infraestructuras Estevez y asociados S.A.,"Plaza de Camilo Aguilera 4 Puerta 9 , Huelva, 43445",La Coruña,Badajoz,8796
Compañía ELQR S.Coop.,"Via de Nazaret Olivé 95 Apt. 23 , Murcia, 14197",Soria,Zaragoza,4767
Logística Españolas S.Com.,"Urbanización de Luciana Valderrama 74 Apt. 33 , Sevilla, 15003",Córdoba,Pontevedra,2604
Supermercados ZS S.L.L.,"Paseo de Benigna Cadenas 91, La Coruña, 30023",Jaén,Guadalajara,2108
Compañía Palau & Asociados S.A.,"Acceso de Montserrat Marin 77 Apt. 00 , Valencia, 04646",Lugo,Navarra,4602
Suministros Amigó S.A.T.,"Cañada de Haroldo Benet 5, Guadalajara, 28718",Vizcaya,Zamora,3979
Hermanos Piñol S.Com.,"Cañada Itziar Esparza 75, Santa Cruz de Tenerife, 46613",Zaragoza,Asturias,7782
Roldán Mosquera Contreras S.A.,"Avenida Amador Saavedra 101, Guadalajara, 04085",Cádiz,Lugo,7484
Servicios CVF S.Coop.,"Pasadizo de Tania Corral 19 Piso 7 , Cáceres, 29123",Cáceres,Huesca,8174
Inmobiliaria XSSR S.L.N.E,"Cañada de Lupe Núñez 36 Apt. 54 , Córdoba, 07097",Santa Cruz de Tenerife,Huelva,7872
Inmobiliaria Arjona & Asociados S.L.,"Cañada Édgar Díez 848, Tarragona, 44187",Tarragona,Ciudad,9107
Hnos Mercader S.Com.,"Calle Benita Pavón 48 Apt. 82 , Ávila, 11076",Barcelona,Segovia,6603
Arrieta & Asociados S.L.,"Pasadizo Belen Leiva 24 Apt. 95 , Córdoba, 07902",La Coruña,Melilla,8512
Medina & Asociados S.L.,"Via de Rufina Alcázar 5, Barcelona, 19627",Girona,Álava,3991
Hnos Vives S.L.L.,"Camino Clarisa Vallejo 246 Piso 6 , Cuenca, 30494",Murcia,Sevilla,9782
Benavides y Reig S.L.L.,"Callejón Reynaldo Grau 17 Piso 4 , Cáceres, 46691",Ourense,Zamora,3368
Hnos Iglesias S.A.T.,"Urbanización de Reyna Sarabia 87 Apt. 69 , Ceuta, 39693",Girona,Tarragona,1429
Grau y asociados S.Coop.,"Camino Calixta Mendez 28, Granada, 11592",Barcelona,Lleida,3713
Logística Avanzadas S.L.N.E,"Cañada Ámbar Maldonado 70 Apt. 60 , Soria, 29170",Huesca,Las Palmas,1952
Comercial Ibéricos S.C.P,"Pasadizo de Alma Terrón 3 Apt. 14 , Almería, 39583",Lugo,Vizcaya,4523
Navarro y Barral S.L.L.,"Calle Adriana Tomas 67 Apt. 39 , Córdoba, 06682",Teruel,Vizcaya,4892
Familia Espejo S.Com.,"Urbanización Chita Tamayo 1 Apt. 40 , Huesca, 50468",Murcia,Zaragoza,5096
Servicios Integrales S.A.,"Callejón de Macario Requena 85, Badajoz, 42544",Madrid,Lleida,5168
Minería Sandoval S.Com.,"Avenida Magdalena Esteve 46, Zaragoza, 24727",Palencia,Palencia,7567
Sevillano y asociados S.L.,"Urbanización de Maximiano Haro 77 Piso 7 , Jaén, 45434",La Coruña,Ceuta,3320
Grupo Cámara S.L.N.E,"Acceso Juan Pablo Vallés 58, Madrid, 12366",Málaga,Valencia,6713
Comercial Quiroga S.L.N.E,"Avenida de Ovidio Pereira 44, Ourense, 10363",Huesca,Sevilla,9839
Jerónimo Sebastián Espada S.L.,"Alameda de Sandalio Castillo 61, Zamora, 16586",Las Palmas,Asturias,4543
Muñoz y Coca S.L.U.,"Ronda Benjamín Planas 161, Melilla, 26628",Cádiz,Teruel,4294
Mateos & Asociados S.Com.,"Cuesta de Gregorio Rico 45 Piso 3 , Cantabria, 12507",Melilla,Ceuta,9951
Leire Canet Huerta S.A.,"Cañada de Cebrián Quirós 12 Apt. 86 , Ciudad, 02953",Zamora,Ciudad,1604
Tecnologías Coll & Asociados S.Com.,"C. Federico Ayllón 51, Asturias, 11265",Valencia,Ceuta,4353
Desarrollo Castellana S.L.N.E,"Pasaje de Cristian Calderón 5 Apt. 48 , Segovia, 02951",Valencia,Málaga,4304
Delfina Palomino Calderón S.L.N.E,"Pasaje Adoración Codina 14, León, 07812",Melilla,Málaga,9366
Angélica Ribes Moll S.C.P,"Pasaje Baltasar Tamayo 36, Cádiz, 12140",La Rioja,Toledo,1912
Consultoría Globales S.Com.,"Cuesta Fausto Pedrosa 20 Puerta 9 , Madrid, 35802",Valladolid,Soria,1179
Hermanos Novoa S.Coop.,"Paseo Mirta Jordán 2, Granada, 51470",León,Cáceres,8863
Restauración Borrego S.L.,"Cañada Fanny Cámara 82 Piso 6 , Ourense, 23611",Santa Cruz de Tenerife,Sevilla,1289
Hotel Avanzadas S.Coop.,"Paseo de Urbano Andrés 20, Valencia, 14777",Pontevedra,Granada,6703
Restauración RZG S.Com.,"Acceso Julie Ugarte 1, Vizcaya, 20164",Navarra,Cantabria,7651
Banco Gibert y asociados S.L.N.E,"Camino de Roldán Pont 40, Soria, 09931",Ávila,Valladolid,1477
Bello y asociados S.Coop.,"Acceso de Vicenta Vázquez 470 Piso 6 , Álava, 15104",Burgos,Santa Cruz de Tenerife,9528
Promociones Verdugo S.A.,"Callejón de Nicanor Talavera 85 Piso 7 , Valladolid, 16013",Zaragoza,Valladolid,7644
Servicios Inteligentes S.L.,"Ronda de Lilia Bejarano 63, Huesca, 24780",Soria,Alicante,6254
Banca Privada Torralba S.L.,"Rambla de Amanda Reig 90 Piso 1 , Las Palmas, 16152",Alicante,Tarragona,3169
